term,definition,category,difficulty,aliases
NLP,Natural Language Processing interaction between computers and human language,AI,Intermediate,
LLM,Large Language Model trained on massive amounts of text data,AI,Advanced,large language model
Computer Vision,Field of AI that trains computers to interpret and understand the visual world,AI,Advanced,
Reinforcement Learning,Area of machine learning concerned with how intelligent agents ought to take actions,AI,Advanced,
Supervised Learning,Machine learning task of learning a function that maps an input to an output,AI,Beginner,
Unsupervised Learning,Machine learning that looks for previously undetected patterns in a data set,AI,Intermediate,
Transformers,Deep learning architecture relying entirely on an attention mechanism,AI,Advanced,
Pandas,Software library written for data manipulation and analysis in Python,Data Science,Beginner,
NumPy,Library for the Python programming language adding support for large arrays and matrices,Data Science,Beginner,
Scikit-learn,Free software machine learning library for the Python programming language,Data Science,Intermediate,
TensorFlow,Free and open-source software library for machine learning and artificial intelligence,Data Science,Intermediate,
PyTorch,Machine learning library based on the Torch library,Data Science,Intermediate,
Matplotlib,Plotting library for the Python programming language,Data Science,Beginner,
Jupyter,Non-profit organization created to develop open-source software,Data Science,Beginner,
Data Warehouse,System used for reporting and data analysis,Data Science,Intermediate,
Data Lake,System or repository of data stored in its natural/raw format,Data Science,Intermediate,
ETL,Extract Transform Load three database functions that are combined into one tool,Data Science,Intermediate,
Hadoop,Collection of open-source software utilities that facilitates using a network of many computers,Data Science,Advanced,
Spark,Open-source unified analytics engine for large-scale data processing,Data Science,Advanced,
SQL,Structured Query Language used in programming and designed for managing data,Data Science,Beginner,
Encryption,Process of encoding information,Security,Beginner,
Decryption,Process of decoding data that has been encrypted,Security,Beginner,
Cryptography,Practice and study of techniques for secure communication,Security,Intermediate,
Firewall,Network security system that monitors and controls incoming and outgoing network traffic,Security,Beginner,
VPN,Virtual Private Network extends a private network across a public network,Security,Beginner,
Phishing,Fraudulent attempt to obtain sensitive information,Security,Beginner,
Malware,Software intentionally designed to cause damage to a computer,Security,Beginner,
Ransomware,Type of malware from cryptovirology that threatens to publish the victim's data,Security,Intermediate,
DDoS,Distributed Denial of Service attack,Security,Intermediate,
Penetration Testing,Authorized simulated cyberattack on a computer system,Security,Advanced,
Zero Trust,Security concept centered on the belief that organizations should not automatically trust anything,Security,Advanced,
OAuth,Open standard for access delegation,Security,Advanced,
JWT,JSON Web Token is an open standard that defines a compact and self-contained way for securely transmitting information,Security,Intermediate,json web token
MFA,Multi-Factor Authentication,Security,Beginner,
Agile,Set of values and principles for software development,Product,Beginner,
Scrum,Agile framework for developing delivering and sustaining complex products,Product,Beginner,
Kanban,Lean method to manage and improve work across human systems,Product,Beginner,
Sprint,Set period of time during which specific work has to be completed,Product,Beginner,
User Story,Informal general explanation of a software feature written from the perspective of the end user,Product,Beginner,
Epic,Large body of work that can be broken down into a number of smaller tasks,Product,Beginner,
MVP,Minimum Viable Product is a version of a product with just enough features to be usable by early customers,Product,Intermediate,
Roadmap,Strategic plan that defines a goal or desired outcome and includes the major steps or milestones needed to reach it,Product,Beginner,
Backlog,Prioritized list of work for the development team that is derived from the roadmap and its requirements,Product,Beginner,
Wireframe,Visual guide that represents the skeletal framework of a website,Product,Beginner,
UX,User Experience refers to a person's emotions and attitudes about using a particular product,Product,Beginner,
UI,User Interface is the space where interactions between humans and machines occur,Product,Beginner,
A/B Testing,User experience research methodology,Product,Intermediate,
KPI,Key Performance Indicator is a type of performance measurement,Product,Intermediate,
OKR,Objectives and Key Results is a goal-setting framework,Product,Intermediate,
Churn Rate,Measure of the number of individuals or items moving out of a collective group over a specific period,Product,Intermediate,
LTV,Lifetime Value is a prognostication of the net profit contributed to the whole future relationship with a customer,Product,Advanced,
CAC,Customer Acquisition Cost,Product,Advanced,
SaaS,Software as a Service is a software licensing and delivery model,Cloud,Beginner,
PaaS,Platform as a Service,Cloud,Intermediate,
IaaS,Infrastructure as a Service,Cloud,Intermediate,
Serverless,Cloud-computing execution model in which the cloud provider dynamically manages the allocation and provisioning of servers,Cloud,Intermediate,
Containerization,OS-level virtualization method used to deploy and run distributed applications,DevOps,Intermediate,
Virtualization,Act of creating a virtual version of something including virtual computer hardware platforms,DevOps,Intermediate,
Load Balancer,Device that acts as a reverse proxy and distributes network or application traffic across a number of servers,DevOps,Intermediate,
CI,Continuous Integration is the practice of merging all developers working copies to a shared mainline several times a day,DevOps,Beginner,
CD,Continuous Deployment is a software engineering approach in which software functionalities are delivered frequently,DevOps,Beginner,
Bash,Unix shell and command language,DevOps,Beginner,
rollback,Return a system or application to a previous state,DevOps,Intermediate,
canary deployment,Release pattern where a new version is deployed to a small percentage of users before full rollout,DevOps,Intermediate,canary release
blue green deployment,Deployment strategy that maintains two identical environments to reduce downtime,DevOps,Intermediate,blue/green deployment
service mesh,Dedicated infrastructure layer for facilitating service-to-service communications,DevOps,Advanced,
ingress,API object that manages external access to the services in a cluster,DevOps,Intermediate,
pod,Smallest execution unit in Kubernetes representing a single instance of a running process,DevOps,Intermediate,
namespace,Mechanism for isolating groups of resources within a single cluster,DevOps,Intermediate,
container,Standard unit of software that packages up code and all its dependencies,DevOps,Beginner,
microservice,Architectural approach where an application is composed of small independent services,DevOps,Intermediate,microservices
sidecar,Supporting process or container that runs alongside a primary application,DevOps,Intermediate,
observability,Measure of how well internal states of a system can be inferred from knowledge of its external outputs,DevOps,Intermediate,
monitoring,Process of collecting and analyzing data to track the health and performance of systems,DevOps,Beginner,
tracing,Method for tracking a single request as it flows through a complex distributed system,DevOps,Intermediate,distributed tracing
logging,Practice of recording system events and data to a centralized location,DevOps,Beginner,
deployment,Process of making a software system available for use,DevOps,Beginner,
rolling update,Deployment strategy that updates instances sequentially,DevOps,Intermediate,
cluster,Set of node machines for running containerized applications,DevOps,Intermediate,
kubernetes deployment,Resource object that provides declarative updates to applications,DevOps,Intermediate,
replica set,Ensures that a specified number of pod replicas are running at any given time,DevOps,Intermediate,
daemonset,Ensures that all or some Nodes run a copy of a Pod,DevOps,Advanced,
statefulset,Workload API object used to manage stateful applications,DevOps,Advanced,
helm,Package manager used to deploy and manage Kubernetes applications,DevOps,Beginner,
